date,floor_tem,ceil_tem
2017/5/1,25C,32C
2017/5/2,25C,34C
2017/5/3,26C,36C
2017/5/4,25C,32C
2017/5/5,24C,30C
2017/5/6,24C,31C
2017/5/7,24C,31C
2017/5/8,24C,33C
2017/5/9,25C,31C
2017/5/10,25C,32C
2017/5/11,25C,34C
2017/5/12,25C,34C
2017/5/13,25C,30C
2017/5/14,24C,30C
2017/5/15,24C,32C
2017/5/16,24C,29C
2017/5/17,24C,29C
2017/5/18,24C,30C
2017/5/19,24C,29C
2017/5/20,24C,30C
2017/5/21,25C,30C
2017/5/22,26C,32C
2017/5/23,26C,34C
2017/5/24,25C,32C
2017/5/25,25C,28C
2017/5/26,24C,28C
2017/5/27,25C,28C
2017/5/28,25C,29C
2017/5/29,25C,30C
2017/5/30,26C,31C
2017/5/31,26C,33C
2017/6/1,27C,35C
2017/6/2,28C,37C
2017/6/3,28C,37C
2017/6/4,28C,37C
2017/6/5,27C,37C
2017/6/6,27C,35C
2017/6/7,26C,33C
2017/6/8,27C,34C
2017/6/9,26C,32C
2017/6/10,26C,32C
2017/6/11,26C,33C
2017/6/12,26C,33C
2017/6/13,27C,34C
2017/6/14,27C,34C
2017/6/15,27C,34C
2017/6/16,26C,34C
2017/6/17,26C,32C
2017/6/18,26C,31C
2017/6/19,26C,33C
2017/6/20,27C,34C
2017/6/21,27C,36C
2017/6/22,26C,34C
2017/6/23,26C,34C
2017/6/24,26C,34C
2017/6/25,26C,34C
2017/6/26,27C,35C
2017/6/27,26C,34C
2017/6/28,26C,34C
2017/6/29,26C,34C
2017/6/30,26C,34C
2017/7/1,26C,35C
2017/7/2,26C,34C
2017/7/3,26C,33C
2017/7/4,26C,32C
2017/7/5,26C,33C
2017/7/6,25C,32C
2017/7/7,25C,31C
2017/7/8,25C,32C
2017/7/9,25C,33C
2017/7/10,26C,35C
2017/7/11,26C,33C
2017/7/12,26C,31C
2017/7/13,26C,31C
2017/7/14,25C,29C
2017/7/15,25C,30C
2017/7/16,25C,29C
2017/7/17,25C,31C
2017/7/18,26C,31C
2017/7/19,25C,32C
2017/7/20,25C,32C
2017/7/21,25C,32C
2017/7/22,25C,29C
2017/7/23,25C,30C
2017/7/24,26C,31C
2017/7/25,25C,31C
2017/7/26,26C,32C
2017/7/27,26C,32C
2017/7/28,26C,31C
2017/7/29,26C,32C
2017/7/30,27C,33C
2017/7/31,27C,34C
2017/8/1,28C,35C
2017/8/2,27C,35C
2017/8/3,27C,34C
2017/8/4,26C,33C
2017/8/5,25C,34C
2017/8/6,26C,34C
2017/8/7,25C,34C
2017/8/8,27C,35C
2017/8/9,27C,35C
2017/8/10,27C,35C
2017/8/11,27C,35C
2017/8/12,27C,35C
2017/8/13,27C,36C
2017/8/14,27C,36C
2017/8/15,26C,35C
2017/8/16,26C,33C
2017/8/17,26C,33C
2017/8/18,26C,33C
2017/8/19,26C,33C
2017/8/20,26C,33C
2017/8/21,26C,33C
2017/8/22,26C,32C
2017/8/23,25C,29C
2017/8/24,26C,34C
2017/8/25,26C,32C
2017/8/26,26C,31C
2017/8/27,26C,30C
2017/8/28,25C,30C
2017/8/29,26C,29C
2017/8/30,25C,32C
2017/8/31,26C,33C
2017/9/1,25C,33C
2017/9/2,26C,33C
2017/9/3,26C,33C
2017/9/4,27C,34C
2017/9/5,27C,33C
2017/9/6,26C,33C
2017/9/7,25C,32C
2017/9/8,26C,33C
2017/9/9,26C,34C
2017/9/10,26C,34C
2017/9/11,25C,35C
2017/9/12,26C,33C
2017/9/13,26C,33C
2017/9/14,26C,30C
2017/9/15,26C,32C
2017/9/16,26C,32C
2017/9/17,26C,33C
2017/9/18,26C,34C
2017/9/19,26C,34C
2017/9/20,26C,34C
2017/9/21,26C,32C
2017/9/22,25C,32C
2017/9/23,25C,32C
2017/9/24,25C,31C
2017/9/25,26C,32C
2017/9/26,26C,32C
2017/9/27,26C,33C
2017/9/28,26C,31C
2017/9/29,25C,31C
2017/9/30,25C,32C
2017/10/1,25C,32C
2017/10/2,25C,31C
2017/10/3,25C,31C
2017/10/4,26C,32C
2017/10/5,25C,29C
2017/10/6,25C,28C
2017/10/7,25C,31C
2017/10/8,25C,30C
2017/10/9,25C,29C
2017/10/10,25C,31C
2017/10/11,25C,30C
2017/10/12,25C,30C
2017/10/13,24C,29C
2017/10/14,23C,29C
2017/10/15,19C,22C
2017/10/16,20C,26C
2017/10/17,24C,28C
2017/10/18,24C,27C
2017/10/19,23C,29C
2017/10/20,23C,27C
2017/10/21,23C,27C
2017/10/22,22C,27C
2017/10/23,21C,27C
2017/10/24,22C,27C
2017/10/25,21C,28C
2017/10/26,21C,28C
2017/10/27,21C,28C
2017/10/28,21C,29C
2017/10/29,22C,27C
2017/10/30,22C,26C
2017/10/31,21C,26C
