,date,weather
0,2017/05/01 UTC,0.0
1,2017/05/02 UTC,0.0
2,2017/05/03 UTC,0.0
3,2017/05/04 UTC,0.65
4,2017/05/05 UTC,0.25
5,2017/05/06 UTC,0.25
6,2017/05/07 UTC,0.25
7,2017/05/08 UTC,0.25
8,2017/05/09 UTC,0.25
9,2017/05/10 UTC,0.25
10,2017/05/11 UTC,0.0
11,2017/05/12 UTC,0.25
12,2017/05/13 UTC,0.25
13,2017/05/14 UTC,0.25
14,2017/05/15 UTC,0.5
15,2017/05/16 UTC,0.5
16,2017/05/17 UTC,0.0
17,2017/05/18 UTC,0.25
18,2017/05/19 UTC,0.5
19,2017/05/20 UTC,0.35
20,2017/05/21 UTC,0.25
21,2017/05/22 UTC,0.25
22,2017/05/23 UTC,0.0
23,2017/05/24 UTC,0.5
24,2017/05/25 UTC,0.6
25,2017/05/26 UTC,0.15
26,2017/05/27 UTC,0.15
27,2017/05/28 UTC,0.0
28,2017/05/29 UTC,0.0
29,2017/05/30 UTC,0.15
30,2017/05/31 UTC,0.25
31,2017/06/01 UTC,0.0
32,2017/06/02 UTC,0.0
33,2017/06/03 UTC,0.0
34,2017/06/04 UTC,0.0
35,2017/06/05 UTC,0.0
36,2017/06/06 UTC,0.25
37,2017/06/07 UTC,0.25
38,2017/06/08 UTC,0.25
39,2017/06/09 UTC,0.25
40,2017/06/10 UTC,0.25
41,2017/06/11 UTC,0.25
42,2017/06/12 UTC,0.25
43,2017/06/13 UTC,0.25
44,2017/06/14 UTC,0.25
45,2017/06/15 UTC,0.25
46,2017/06/16 UTC,0.25
47,2017/06/17 UTC,0.25
48,2017/06/18 UTC,0.25
49,2017/06/19 UTC,0.25
50,2017/06/20 UTC,0.25
51,2017/06/21 UTC,0.25
52,2017/06/22 UTC,0.0
53,2017/06/23 UTC,0.0
54,2017/06/24 UTC,0.25
55,2017/06/25 UTC,0.25
56,2017/06/26 UTC,0.25
57,2017/06/27 UTC,0.0
58,2017/06/28 UTC,0.25
59,2017/06/29 UTC,0.25
60,2017/06/30 UTC,0.25
61,2017/07/01 UTC,0.25
62,2017/07/02 UTC,0.25
63,2017/07/03 UTC,0.25
64,2017/07/04 UTC,0.25
65,2017/07/05 UTC,0.25
66,2017/07/06 UTC,0.4
67,2017/07/07 UTC,0.35
68,2017/07/08 UTC,0.25
69,2017/07/09 UTC,0.25
70,2017/07/10 UTC,0.25
71,2017/07/11 UTC,0.0
72,2017/07/12 UTC,0.25
73,2017/07/13 UTC,0.25
74,2017/07/14 UTC,0.5
75,2017/07/15 UTC,0.55
76,2017/07/16 UTC,0.4
77,2017/07/17 UTC,0.25
78,2017/07/18 UTC,0.25
79,2017/07/19 UTC,0.4
80,2017/07/20 UTC,0.25
81,2017/07/21 UTC,0.25
82,2017/07/22 UTC,0.6
83,2017/07/23 UTC,0.35
84,2017/07/24 UTC,0.44999999999999996
85,2017/07/25 UTC,0.3
86,2017/07/26 UTC,0.25
87,2017/07/27 UTC,0.25
88,2017/07/28 UTC,0.5
89,2017/07/29 UTC,0.0
90,2017/07/30 UTC,0.0
91,2017/07/31 UTC,0.0
92,2017/08/01 UTC,0.0
93,2017/08/02 UTC,0.25
94,2017/08/03 UTC,0.25
95,2017/08/04 UTC,0.25
96,2017/08/05 UTC,0.25
97,2017/08/06 UTC,0.25
98,2017/08/07 UTC,0.25
99,2017/08/08 UTC,0.0
100,2017/08/09 UTC,0.0
101,2017/08/10 UTC,0.0
102,2017/08/11 UTC,0.25
103,2017/08/12 UTC,0.25
104,2017/08/13 UTC,0.0
105,2017/08/14 UTC,0.0
106,2017/08/15 UTC,0.0
107,2017/08/16 UTC,0.0
108,2017/08/17 UTC,0.0
109,2017/08/18 UTC,0.25
110,2017/08/19 UTC,0.25
111,2017/08/20 UTC,0.25
112,2017/08/21 UTC,0.0
113,2017/08/22 UTC,0.0
114,2017/08/23 UTC,0.6
115,2017/08/24 UTC,0.0
116,2017/08/25 UTC,0.25
117,2017/08/26 UTC,0.6
118,2017/08/27 UTC,0.55
119,2017/08/28 UTC,0.5
120,2017/08/29 UTC,0.25
121,2017/08/30 UTC,0.25
122,2017/08/31 UTC,0.0
123,2017/09/01 UTC,0.0
124,2017/09/02 UTC,0.0
125,2017/09/03 UTC,0.0
126,2017/09/04 UTC,0.0
127,2017/09/05 UTC,0.25
128,2017/09/06 UTC,0.25
129,2017/09/07 UTC,0.5
130,2017/09/08 UTC,0.25
131,2017/09/09 UTC,0.0
132,2017/09/10 UTC,0.0
133,2017/09/11 UTC,0.25
134,2017/09/12 UTC,0.0
135,2017/09/13 UTC,0.0
136,2017/09/14 UTC,0.6
137,2017/09/15 UTC,0.25
138,2017/09/16 UTC,0.0
139,2017/09/17 UTC,0.0
140,2017/09/18 UTC,0.0
141,2017/09/19 UTC,0.0
142,2017/09/20 UTC,0.0
143,2017/09/21 UTC,0.0
144,2017/09/22 UTC,0.25
145,2017/09/23 UTC,0.25
146,2017/09/24 UTC,0.6
147,2017/09/25 UTC,0.0
148,2017/09/26 UTC,0.0
149,2017/09/27 UTC,0.0
150,2017/09/28 UTC,0.25
151,2017/09/29 UTC,0.25
152,2017/09/30 UTC,0.25
153,2017/10/01 UTC,0.25
154,2017/10/02 UTC,0.25
155,2017/10/03 UTC,0.25
156,2017/10/04 UTC,0.25
157,2017/10/05 UTC,0.55
158,2017/10/06 UTC,0.55
159,2017/10/07 UTC,0.3
160,2017/10/08 UTC,0.45
161,2017/10/09 UTC,0.7
162,2017/10/10 UTC,0.4
163,2017/10/11 UTC,0.4
164,2017/10/12 UTC,0.0
165,2017/10/13 UTC,0.0
166,2017/10/14 UTC,0.15
167,2017/10/15 UTC,0.95
168,2017/10/16 UTC,0.0
169,2017/10/17 UTC,0.6
170,2017/10/18 UTC,0.15
171,2017/10/19 UTC,0.0
172,2017/10/20 UTC,0.3
173,2017/10/21 UTC,0.15
174,2017/10/22 UTC,0.0
175,2017/10/23 UTC,0.0
176,2017/10/24 UTC,0.0
177,2017/10/25 UTC,0.0
178,2017/10/26 UTC,0.0
179,2017/10/27 UTC,0.0
180,2017/10/28 UTC,0.0
181,2017/10/29 UTC,0.15
182,2017/10/30 UTC,0.0
183,2017/10/31 UTC,0.0
